Warehouse,Location,PartLocationNo,StatusDescription,Low Level,Mid_Level,High_Level,Total PartNo,ProgramID
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.02A,RECEIVED,ENG Hold,HOLD,ARB Hold,6,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.02B,RECEIVED,ENG Hold,HOLD,ARB Hold,4,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.02C,RECEIVED,ENG Hold,HOLD,ARB Hold,7,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.02D,RECEIVED,ENG Hold,HOLD,ARB Hold,2,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.02E,RECEIVED,ENG Hold,HOLD,ARB Hold,4,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.03C,RECEIVED,ENG Hold,HOLD,ARB Hold,7,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.03D,RECEIVED,ENG Hold,HOLD,ARB Hold,11,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.03E,RECEIVED,ENG Hold,HOLD,ARB Hold,5,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.02.01A,RECEIVED,ENG Hold,HOLD,ARB Hold,7,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.02.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,6,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.02.02A,RECEIVED,ENG Hold,HOLD,ARB Hold,2,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.02.02C,RECEIVED,ENG Hold,HOLD,ARB Hold,9,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.02.03A,RECEIVED,ENG Hold,HOLD,ARB Hold,16,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.02.03B,RECEIVED,ENG Hold,HOLD,ARB Hold,5,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.01B,RECEIVED,ENG Hold,HOLD,ARB Hold,6,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.01C,RECEIVED,ENG Hold,HOLD,ARB Hold,5,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,6,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.01E,RECEIVED,ENG Hold,HOLD,ARB Hold,4,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.02B,RECEIVED,ENG Hold,HOLD,ARB Hold,26,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.02C,RECEIVED,ENG Hold,HOLD,ARB Hold,3,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.02D,RECEIVED,ENG Hold,HOLD,ARB Hold,4,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.02E,RECEIVED,ENG Hold,HOLD,ARB Hold,3,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.03B,RECEIVED,ENG Hold,HOLD,ARB Hold,20,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.03C,RECEIVED,ENG Hold,HOLD,ARB Hold,4,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.03D,RECEIVED,ENG Hold,HOLD,ARB Hold,4,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.03.03E,RECEIVED,ENG Hold,HOLD,ARB Hold,3,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.04.01A,RECEIVED,ENG Hold,HOLD,ARB Hold,6,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.04.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,6,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.04.02B,RECEIVED,ENG Hold,HOLD,ARB Hold,8,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.04.03B,RECEIVED,ENG Hold,HOLD,ARB Hold,3,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.04.03C,RECEIVED,ENG Hold,HOLD,ARB Hold,12,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.05.01A,RECEIVED,ENG Hold,HOLD,ARB Hold,6,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.05.01B,RECEIVED,ENG Hold,HOLD,ARB Hold,9,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.05.01C,RECEIVED,ENG Hold,HOLD,ARB Hold,1,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.05.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,11,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.05.01E,RECEIVED,ENG Hold,HOLD,ARB Hold,4,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.05.01K,RECEIVED,ENG Hold,HOLD,ARB Hold,6,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.05.02A,RECEIVED,ENG Hold,HOLD,ARB Hold,5,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.05.02B,RECEIVED,ENG Hold,HOLD,ARB Hold,5,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.05.02C,RECEIVED,ENG Hold,HOLD,ARB Hold,2,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.05.02D,RECEIVED,ENG Hold,HOLD,ARB Hold,25,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.05.03A,RECEIVED,ENG Hold,HOLD,ARB Hold,25,10053
